Florence,Mary,Florence,Mary,Mary,Mary,Mary,Florence,Florence,Florence,Mary,,Mary,Florence,Florence,,Marion,Chantal,Marion,,,,,,Mary,Amos,,,Mary,Mary,Florence,,Mary,Mary,,Mary,Mary
Style No.,Image,Style Name,Type,Status,Category,Sub Category,Adoption Date,Florence,EDD - Sample,Target Order Week,Target Launch Week,Actual Order Date,Sample Approval Date,Sample Approval Week,CAD Transfer Date,Tech Pack/Requisition Date,Set Sample Mini Marker,Set Sample Order Date,Set Sample Receipt Date,Set Sample Approval Date,Set Sample Approval Week,Date Transferred to Buying,Actual Order Week,Planned Launch Week,Actual Launch Date,Theme,Collection Name,Fabric Type,P / S,Brand,,Fabric Name,Sample Colour,,S/S Approval,Exp Order Date
V0826056,,Vivo Gathered Neck Jacket (ETSY),NEW,SAMPLING,Outerwear,Jackets & Coats,22-Jun- 2026,Wanjohi,,WK 37,WK 40,,31-Jul-2026,,3-Aug-2026,,,,,,,,,,,,Vivo,Medium Polyester Satin,Solid,Vivo,,HUAMING 2018 Medium Polyester Satin,Navy,,,
V0526033,,Vivo Halter Neck Contrast Maxi Dress in Denim,NEW,PATTERN,Dresses,Maxi Dresses,29-Apr-2026,Wanjohi,,WK 40,WK 43,,,,,,,,,,,,,,,,Vivo,Medium Denim,solid,Vivo  ,,CHECK JUMPSUIT DENIM TO SHARE,,,,
V0826041,,Vivo Halter Top in Satin  (ETSY) ,NEW,PATTERN,Tops,Fitted Tops,25-Aug-2026,Wanjohi,,WK 41,WK 44,,,,,,,,,,,,,,,,,,Print,Vivo  ,,Eastleigh Medium Satin,,,,
V0626033,review,Vivo High Low Top in Satin,NEW,PATTERN,Tops,Loose & Oversized Tops,10-Jun-2026,Florence,WK 24,WK 39,WK 42,, ,,,,,,,,,,,,,,Vivo,Medium Satin,Solid,Vivo,,Hua Ming 2018/100D,Navy Blue,,,
V0826048,,Vivo Kimono (ETSY),NEW,PATTERN,Outerwear,Waterfalls & Kimonos,25-Aug-2026,Mercy,,WK 41,WK 44,,,,,,,,,,,,,,,,,,,Vivo  ,,,,,,
V0526042,,Vivo Knit Tank Top (Ken Knit),NEW,SET SAMPLING,Outerwear,T-shirts & Tank Tops,10-Mar-2026,Ken Knit,NONE,,,,,,,,,,,,,,,WK 25,,,,Acrylic Sweater,,Vivo  ,,Acrylic,,,,
V0726016,,Vivo Long Sleeve Bodysuit in Rayon,NEW,SAMPLE REVIEW,Tops,Bodysuits,7-Jul-2026,CAD,,WK 37,WK 40,,,,,,,,,,,,,,,Casual,Vivo,Heavy Interlock Jersey,Solid,Vivo,,REEYON LY001 Heavy Interlock Jersey,Off white,,,
V0526047,,Vivo Long Sleeved Tie Blazer in Ponte,RR,PATTERN,Outerwear,Jackets & Coats,25-Mar-2026,Victoria,WK 33,WK 39,WK 42,,,,,,,,,,,,,,,,Vivo,Medium Ponte,Solid,Vivo  ,,Shunyuan 18A-46,,,,
V0826035,,Vivo Maxi Kaftan in Crepe (ETSY),NEW,PATTERN,Dresses,Kaftan Dresses,25-Aug-2026,Mercy,,WK 41,WK 44,,,,,,,,,,,,,,,,,,,Vivo  ,,Showme 18208,,,,
V0826080,,Vivo Mistari 3/4 Sleeve Kaftan Dress in Twill,NEW,PATTERN,Dresses,Kaftan Dresses,20-Aug-2026,Florence,,WK 36,WK 39,,,,,,,,,,,,,,,,,Medium Polyester Twill,Print,Vivo  ,,.YIHAO 57 2345,,,,
V0826042,,Vivo Oversized Shirt ETSY,NEW,PATTERN,Tops,Loose & Oversized Tops,25-Aug-2026,Victoria,,WK 40,WK 43,,,,,,,,,,,,,,,,,,Print,Vivo  ,,Yihao 118-2077 Army Green,,,,
V0826023,,Vivo Pleated Wide Leg Pants in Twill,NEW,SET SAMPLING,Bottoms,Full Length Pants,24-Jun-2026,Wanjohi,,WK 36,WK 39,,18-Aug-2026,WK 34,,,,,,,,,,,,,,Medium Polyester Twill,Solid,Vivo,,YIHAO 681112 Light Polyester Crepe,,,,
V0826038,,Vivo Pullover in Fleece (ETSY),NEW,PATTERN,Outerwear,Hoodies & Sweatshirts,25-Aug-2026,Victoria,,WK 39,WK 42,,,,,,,,,,,,,,,,,,,Vivo  ,,Maziwa Fleece,,,,
V0726032,,Vivo Raglan Sleeve Sweatshirt in Ponte (ETSY),NEW,PATTERN,Outerwear,Hoodies & Sweatshirts,21-Jul-2026,Florence,,WK 39,WK 42,,,,,,,,,,,,,,,,Vivo,Medium Rayon Ponte,Solid,Vivo  ,,GAO SHANG 6034 Medium Rayon Ponte,,,,
V0826045,,Vivo Relaxed Blouse in Crepe  (ETSY),NEW,PATTERN,Tops,Relaxed Tops,25-Aug-2026,Victoria,,WK 41,WK 44,,,,,,,,,,,,,,,,,,Print,Vivo  ,,Showme 18206,,,,
V0426011,,Vivo Relaxed Shirt Dress in Crepe,NEW,TRANSFER TO CAD,Dresses,Short & Mini Dresses,10-Mar-2026,Mercy,,WK 37,WK 40,,20-Aug-2026,WK ,,,,,,,,,,,,,Vivo,Medium Crepe,Print,Vivo  ,,Showme 18206,,,,
V0526086,,Vivo Reversible Tulip Coat in Corduroy (NEW),NEW,SAMPLE REVIEW,Outerwear,Jackets & Coats,21-May-2026,Victoria,,WK 38,WK 41,,,,,,,,,,,,,,,,Vivo,Medium Rayon Jersey Rib,Solid,Vivo  ,,FANGQI Microfiber High Elastic Medium Rayon Jersey Rib,"Navy,Hunters,Brown,Rust",,,
V0926001,,Vivo Round Neck Maxi Kaftan in Satin,RR,SAMPLING,Dresses,Kaftan Dresses,1-Sep-2026,,,WK 37,WK 40,,,,,,,,,,,,,,,,Vivo,Medium Satin,Print,Vivo,,Huaming 2018D,Navy,,,
V0826016,,Vivo Ruffle Tie Neck Top in ,NEW,PATTERN,Tops,Relaxed Tops,5-Aug-2026,Wanjohi,,WK 40,WK 43,,,,,,,,,,,,,,,,,,,Vivo  ,,,,,,
V0626056,,Vivo Scooped Tank Top in Satin,NEW,PATTERN,Tops,T-shirts & Tank Tops,22-Jun- 2026,Mercy,,WK 39,WK 42,,,,,,,,,,,,,,,Casual,Vivo,,,Vivo  ,,Yiwan 8068,,,,
V0626062,,Vivo Shawl Collar Blazer in Crepe,NEW,SAMPLE REVIEW,Outerwear,Jackets & Coats,22-Jun- 2026,Victoria,,,,,,,,,,,,,,,,,,,Vivo,,Solid,Vivo  ,,Yihao 68 992/Lining Huaming 1801/50D,Green,,,
V0626081,,Vivo Shirred Sleeve Top in Cotton,NEW,APPROVED FOR S/S,Tops,Relaxed Tops,26-Jun-2026,Wanjohi,,WK 38,WK 41,,27-Aug-2026,WK 35,28-Aug-2026,,31-Aug-2026,31-Aug-2026,,,,,,,,,SBV,,,Safari by Vivo,,YIYI N273,YIYI 7294 White,,,
V0826009,,Vivo Short Sleeve Maxi Dress in Cotton,NEW,SAMPLE REVIEW,Dresses,Maxi Dresses,6-Aug-2026,Mercy,,WK 38,WK 41,,,,,,,,,,,,,,,,Vivo,Medium Cotton Twill,,Vivo,,SHUNYUAN H179 Medium Cotton Twill,,,,
