kind,template_id,product_name,proposed_number,proposed_name_or_alts
recoverable,109320,Vivo Arafa Wrap Dress - Maroon,V0124048,Vivo Arafa Wrap Dress
recoverable,342452,Vivo Ari One Shoulder Maxi Dress  - FS,V0725023,Vivo Ari One Shoulder Maxi Dress
recoverable,109391,Vivo Asha Drop Shoulder Knee Length Dress - Black / Yellow Floral Print,V1223033,Vivo Asha Drop Shoulder Knee Length Dress
recoverable,109398,Vivo Asha Drop Shoulder Knee Length Dress - Dark Navy / Cream Samara Print,V1223033,Vivo Asha Drop Shoulder Knee Length Dress
recoverable,109412,Vivo Asha Drop Shoulder Knee Length Dress - White / Black Floral Print,V1223033,Vivo Asha Drop Shoulder Knee Length Dress
recoverable,109414,Vivo Asha Drop Shoulder Maxi Shirt Dress - Beige / Black Print,V1223031,Vivo Asha Drop Shoulder Maxi Shirt Dress
recoverable,109415,Vivo Asha Drop Shoulder Maxi Shirt Dress - Blue / Black Weni Print,V1223031,Vivo Asha Drop Shoulder Maxi Shirt Dress
recoverable,109418,Vivo Asha Drop Shoulder Maxi Shirt Dress - Dark Green,V1223031,Vivo Asha Drop Shoulder Maxi Shirt Dress
recoverable,109419,Vivo Asha Drop Shoulder Maxi Shirt Dress - Dark Mustard / Black Weni Print,V1223031,Vivo Asha Drop Shoulder Maxi Shirt Dress
recoverable,109422,Vivo Asha Drop Shoulder Maxi Shirt Dress - Mustard / Black Lala Print,V1223031,Vivo Asha Drop Shoulder Maxi Shirt Dress
recoverable,109425,Vivo Asha Drop Shoulder Maxi Shirt Dress - Navy / Cream Bia Print,V1223031,Vivo Asha Drop Shoulder Maxi Shirt Dress
recoverable,109429,Vivo Asha Drop Shoulder Maxi Shirt Dress - Tan / Black Bia Print,V1223031,Vivo Asha Drop Shoulder Maxi Shirt Dress
recoverable,342285,Vivo Asha Sleeveless Knee Length Dress  - FS,V1223034,Vivo Asha Sleeveless Knee Length Dress
recoverable,342286,Vivo Asha Sleeveless Knee Length Dress  - FS,V1223034,Vivo Asha Sleeveless Knee Length Dress
recoverable,109446,Vivo Asha Sleeveless Knee Length Dress - Cream / Navy Print,V1223034,Vivo Asha Sleeveless Knee Length Dress
recoverable,109448,Vivo Asha Sleeveless Knee Length Dress - Grey / Black Print,V1223034,Vivo Asha Sleeveless Knee Length Dress
recoverable,109451,Vivo Asha Sleeveless Knee Length Dress - White / Black Jilo Print,V1223034,Vivo Asha Sleeveless Knee Length Dress
recoverable,109454,Vivo Asha Sleeveless Knee Length Dress - White / Navy Print,V1223034,Vivo Asha Sleeveless Knee Length Dress
recoverable,342283,Vivo Asha Sleeveless Knee Length Dress In Crepe  - FS,V1223034,
recoverable,342284,Vivo Asha Sleeveless Knee Length Dress in Crepe  - FS,V1223034,
recoverable,109459,Vivo Asha Sleeveless Maxi Dress - Burgundy Peli Print,V1223032,Vivo Asha Sleeveless Maxi Dress
recoverable,109465,Vivo Asha Sleeveless Maxi Dress - Light Olive / Navy Ela Print,V1223032,Vivo Asha Sleeveless Maxi Dress
recoverable,109471,Vivo Asha Sleeveless Maxi Dress - Mustard / Brown Lalo Print,V1223032,Vivo Asha Sleeveless Maxi Dress
recoverable,109477,Vivo Asha Sleeveless Maxi Dress - Taupe / Black Tuli Print,V1223032,Vivo Asha Sleeveless Maxi Dress
recoverable,109479,Vivo Asha Sleeveless Maxi Dress - White Peli Print,V1223032,Vivo Asha Sleeveless Maxi Dress
recoverable,342619,Vivo Asha Wide Leg Pants in Chiffon  - FS,V0224136,Vivo Asha Wide Leg Pants in Chiffon
recoverable,342598,Vivo Asymmetrical Dolman Dress in Satin  - FS,V0226043,Vivo Asymmetrical Dolman Dress in Satin
recoverable,109614,Vivo Ava 3/4 Sleeve Kimono - Off White,V1023042,Vivo Ava 3/4 Sleeve Kimono
recoverable,109621,Vivo Ava 3/4 Sleeve Kimono -White,V1023042,Vivo Ava 3/4 Sleeve Kimono
