Style Name,Style Number,Status,Tier
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,,
,,Active,
,,Active,
,,,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
Key Hole Halter with Seamed Body,P21TX9411-RB,Retired,Retired
Key Hole Halter with Seamed Body,,Retired,Retired
Key Hole Halter with Seamed Body,,Retired,Retired
,,Active,
King's Collection Unisex Round Neck T-shirt,,Active,
,,,
,,,
,,,
,,,
,,Active,
,,,
,,Active,
,,Active,
,,,
,,Active,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,Active,
,,,
,,Active,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
Lace-Up Back Spaghetti-Strap Dress,,Retired,Retired
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Lola Front Knot Shoulder Tie Crop Tie,LL0070,Active,
,,,
,,,
,,,
,,,
,,,
Lola Long Sleeved Above Knee Ruched Dress,LL0009,Active,
,,,
,,,
,,,
,,,
,,,
Long Sleeve Bodysuit,SZ0922066,Active,
,,,
Long Strappy Satin Dress with Pleated Bust,,Active,
Long Strappy Satin Dress with Pleated Bust,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Active,
,,Active,
,,,
,,,
