product_name,barcode,sku,price,retired_qty
Safari Savannah Kitenge Midi Wrap Dress - Sipo Print,60043142,S0824067SIPM,8950,2
Safari Savannah Men's Drawstring Shorts (Tall) - Hunters,60041656,S0624022HUN(TAL)S,2800,2
Safari Savannah Men's Jacket - Hunters,60041712,S0624028HUNL,2650,2
Safari Savannah Men's Long Sleeve Shirt - Beige,60041690,S0724016BEI1X,1850,2
Safari Savannah Men's Long Sleeve Shirt - White,60041692,S0724016WHIS,1850,2
Safari Savannah Men's Short Sleeve Shirt - Beige,60041672,S0724125BEI1X,5950,2
Safari Savannah Men's Short Sleeve Shirt - Beige,60041671,S0724125BEIL,5950,2
Safari Savannah Men's Short Sleeve Shirt - White,60041674,S0724125WHIS,4200,2
Safari Savannah Men's Straight Leg Pants - Black,60041696,S0624027BLAS,4800,2
Safari Savannah Men's Straight Leg Pants - Hunters,60041702,S0624027HUNL,3400,2
Safari Savannah Wrap Top - Beige,60051571,S0724009BEIS,5250,2
Safari Savannah Wrap Top - Beige,60051576,S0724009BEIXS,5250,2
Safari Savannah Wrap Top - Hunters,60051575,S0724009HUNXS,5250,2
Safari Savannah Wrap Top - Rust,60043046,S0724009RSTM,5250,2
Safari Sizani 2 Way Wrap Top - Himo Print,60049638,S1124144PR21X/2X,3250,2
Safari Sizani Men's Kitenge Tuxedo Shirt - Black,60049598,S1124151PR11X,4400,2
Safari Sizani Strappy Tent Top - Black,60050959,S1124116BLA1X,2950,2
Safari Solana Bubble Midi Skirt in Cotton - Chocolate,60065815,S0825039CHOCL,5800,2
Safari Solana Bubble Midi Skirt in Cotton - Olive,60065807,S0825039OLI2X,5800,2
Safari Solana Bubble Midi Skirt in Cotton - Olive,60065803,S0825039OLIS,5800,2
Safari Solana Bubble Midi Skirt in Cotton - Orange,60065818,S0825039SORAS,5800,2
Safari Solana Bubble Midi Skirt in Cotton - Tan,60065810,S0825039TANL,5800,2
Safari Solana Bubble Midi Skirt in Cotton - Tan,60065808,S0825039TANS,5800,2
Safari Spaghetti Tank Top - Dark Taupe,60035315,S0424062DTAU3X/4X,1750,2
Safari Tafari Shorts - Black Brown Shade C,60060957,S0925046PR5S,2800,2
Safari Tafari Shorts - Dafi Print,60060975,S0925046PR9L,2800,2
Safari Tafari Shorts - Dafi Print,60060973,S0925046PR9S,2800,2
Safari Tafari Shorts - Dark Navy Asili Print,60060949,S0925046PR3S,2800,2
Safari Tafari Shorts - Light Blue Asili Print,60060943,S0925046PR1L,2800,2
Safari Tafari Shorts - Selvi Print,60060971,S0925046PR8L,2800,2
Safari Tafari Wrap Top - Cheli Print,60060637,S1025031PR1L/1X,3400,2
Safari Tafari Wrap Top - Karanga Print,60060645,S1025031PR5L/1X,3400,2
Safari Tafari Wrap Top - Pangani Print,60060652,S1025031PR9S/M,3400,2
Safari Tafari Wrap Top - Sigi Print,60060638,S1025031PR2S/M,3400,2
Safari Tara Bishop Sleeve Dress - Peach / Blue Sara Print,60056482,S0525069PR2M,6400,2
Safari Tawi Flounce Tent Dress - Lime Green,60016152,S0322138LGNXL,4950,2
Safari Tawi Off Shoulder Knee Length Dress - Mustard(Plain Belt),60034386,S0322128MUSPB1X,450,2
Safari Tawi Off-Shoulder Top - Lime,60052664,S0325016LIMM,1150,2
Safari Tiwa Shirred Midi Dress - Lime,60053958,S0125056LIMM/L,5800,2
Safari Tiwa Shirred Midi Dress - Rust,60053963,S0125056RUSTXS/S,5800,2
Safari Tiwa Shirred Top - Black,60053912,S0125049BLA1X,1150,2
Safari Tiwa Shirred Top - Black,60053910,S0125049BLAM,1150,2
Safari Tiwa Shirred Top - Hunters,60056340,S0125049HUNS,1150,2
Safari Tiwa Shirred Top - Lime,60056336,S0125049LIMS,1650,2
Safari Zene Off Shoulder Top - Coral,60036298,S1023060CORM,350,2
Safari Zene Off Shoulder Top - Pink,60044174,S1023060PINL,350,2
Safari Zene Tiered Above Knee Dress - White,60027400,S1023063WHIL,5550,2
Safari Zene Tiered Above Knee Dress - White,60027399,S1023063WHIM,5550,2
Safari by Vivo Naledi Bubble Midi Dress - Beta Print,60061239,S0925040PR6M,5800,2
Safari by Vivo Naledi Bubble Midi Dress - Isara Print,60061218,S0925040PR1S,5800,2
Safari by Vivo Savannah Drawstring Shacket in Linen - White,60043052,S0724086WHIM/L,8400,2
Shiv & Shikie X Safari Faux Collar Shirt - Black,60055308,S0425045BLAM/L,2800,2
Shiv & Shikie X Safari Printed Short Sleeve Shirt - Brown / Black Ezi Print,60056093,S0425041PR1L,4800,2
Shiv & Shikie X Safari Short Sleeve Shirt - Lime,60056224,S0625017LIML,4800,2
Vivo  X This Is Essential Short Unitard - Navy Blue,60034665,V0224109NABXXS,3250,2
Vivo Alani High Low Dress - Black Textured Print,60056576,V0625018PR4M,2850,2
Vivo Aleri Trench Coat Dress - Mustard,60057796,V0625059MUSS,5900,2
Vivo Aleri Trench Coat Dress - Rust,60057791,V0625059RUS1X,5900,2
Vivo Aleri Trench Coat Dress - Rust,60057789,V0625059RUSM,5900,2
Vivo Aleri Trench Coat Dress - White,60057542,V0625059WHIM,5900,2
Vivo Amara Sleeveless High Low Top - Tan,60026453,V1023097TANM,900,2
Vivo Analo Sleeveless Tie Kimono - Yellow,60054779,V0425046YELXS/S,1550,2
Vivo Analo Wide Leg Pants - Orange,60053468,V0325069ORAM,1950,2
Vivo Ari One Shoulder Maxi Dress - Dark Green,60057315,V0725023DGRN1X,2250,2
Vivo Ari One Shoulder Maxi Dress - Dark Green,60057312,V0725023DGRNS,2250,2
Vivo Ari Sleeveless Straight Maxi Slit Dress - Red,60057246,V0725029REDM,4900,2
Vivo Asika Kaftan Tunic - Black,60028767,V0323015BLAF,1150,2
Vivo Ava Front Pleat Knee Length Dress In Crepe - Navy,60063430,V1124142NAVM,4900,2
Vivo Ava Shirt Collar Tunic Top - Light Tan,60048190,V0923089LTANF,2750,2
Vivo Ayah Bishop Sleeve Mock Neck Top - Chocolate,60052319,V0225002CHOCS,3050,2
Vivo Ayah Bishop Sleeve Mock Neck Top - Green / Peach Zani Print,60057958,V0225002PR4L,4500,2
Vivo Ayah Bishop Sleeve Mock Neck Top - Lilac / Orange Zani Print,60057952,V0225002PR3S,3050,2
Vivo Ayah Satin Pants - Dark Purple,60052417,V0225031DAP1X,1950,2
Vivo Ayah Satin Pants - Dark Purple,60052415,V0225031DAPM,1950,2
Vivo Ayah Shirred Cuff Loose Top - Dark Purple,60052487,V0225032DAPS,3550,2
Vivo Basic Ali Jacket - Burgundy,60042178,V0819124BURS,2950,2
Vivo Basic Ali Jacket - Hunters Green,60027999,V0819124HGNS,2950,2
Vivo Basic Ali Jacket - Navy Blue,40010856,V0819124NABM,2950,2
Vivo Basic Ali Jacket - Red,60056076,V0819124REDS,2950,2
Vivo Basic Bishop Sleeve Top In Chiffon (Double Layered) - Light Blue,60064085,V0524179LBLM,3500,2
Vivo Basic Boundneck Puff Sleeve Top - Pink,40013981,V0320040PINM,3250,2
Vivo Basic Cap Sleeved Leila Dress - Safron,60027185,V0819136SAF4X,1350,2
Vivo Basic Chiffon Dropped Shoulder Top - Blue,60039001,V0422075BLUL,2950,2
Vivo Basic Chiffon Dropped Shoulder Top - Blue,60038999,V0422075BLUS,2950,2
Vivo Basic Drop Shoulder Top - Burnt Orange,60054375,V0622002BUOL,2550,2
Vivo Basic Drop Shoulder Top - Burnt Orange,60054374,V0622002BUOM,2550,2
Vivo Basic Escape A-Line Dress in Ponte - Red,50001132,V1019069REDM,4900,2
Vivo Basic Jeggings - Black,60052212,V0325021BLAM,3550,2
Vivo Basic Leila Short Waterfall in Jersey - White,60036670,V0423078WHI1X/2X,3700,2
Vivo Basic Long Lily Waterfall - Teal,60045682,V0819064TEA1X/2X,1750,2
Vivo Basic Long Sleeve Cascade Waterfall - Green,60027038,V0723033GRES/M,1950,2
Vivo Basic Long Sleeve Cascade Waterfall - Hunters Green,60038573,V0723033HGNS/M,1950,2
Vivo Basic Long Sleeved Top - Light Grey,60048366,V0719113LGRY2X,1750,2
Vivo Basic Long Sleeved Top - Orange,60036481,V0719113ORA2X,1400,2
Vivo Basic Long Sleeved Top - Rust,60053924,V0719113RUST1X,1750,2
Vivo Basic Neo Waterfall - Pink,60047248,V0422073PINL/1X,2250,2
Vivo Basic Palazzo Pants - Navy Blue,60043329,V0819137NVBL,2800,2
Vivo Basic Puff Sleeved Bodycon - Mustard,40008520,V0919039MUSL,4750,2
Vivo Basic Salma Maxi Boat Neck Dress - Mustard,50012487,V0819056MUSF,3450,2
Vivo Basic Sleeveless Kena Tent Maxi Dress in Ponte - Black,50017235,V1121020BLAS,5500,2
Vivo Basic Sleeveless Kena Tent Maxi Dress in Ponte - Mustard,60023125,V1121020MUSM,5500,2
Vivo Basic Sleeveless Long Lily Waterfall - Mustard,60037391,V0719839MUS1X/2X,1450,2
Vivo Basic Sleeveless Long Lily Waterfall - Mustard,60037390,V0719839MUSM/L,1450,2
Vivo Basic Sleeveless Long Lily Waterfall - Tan,60034616,V0719839TANS/M,1750,2
