Style Number,Style Name,Brand,Category,Subcategory,Status,Highest Sold Price (KES),Current Price (KES),Warehouse,Retired Location,Stores,Online,Total SOH
S0424035,Safari Men's Bomber Jacket,Safari,Outerwear,Jackets & Coats,Retired,5950.0,4200.0,1.0,16.0,4.0,4,25
S1124151,Safari Sizani Men's Kitenge Tuxedo Shirt,Safari,Tops,Men's Tops,Retired,4400.0,4400.0,0,13.0,0,12,25
V0625043,Vivo Iyana Bubble Midi Skirt,Vivo,Skirts,Midi & Capri Skirts,Retired,4900.0,4050.0,4.0,10.0,3.0,8,25
Z0125030,Zoya Sadira Bell Bottom Pants,Zoya,Bottoms,Full Length Pants,Retired,1950.0,1950.0,0,2.0,11.0,12,25
S0125056,Safari Tiwa Shirred Midi Dress,Safari,Dresses,Midi & Capri Dresses,Retired,5800.0,5800.0,4.0,8.0,7.0,5,24
Z0924029,Zoya Temo Men's Knee Length Shorts,Zoya,Bottoms,Men's Bottoms,Retired,1950.0,1450.0,0,0,14.0,10,24
V1122192,Vivo Basic Sleeveless Midi Jersey Waterfall,Vivo,Outerwear,Waterfalls & Kimonos,Retired,3250.0,2000.0,0,17.0,1.0,6,24
S0325031,Safari Tiwa Barell Pants,Safari,Bottoms,Full Length Pants,Retired,5400.0,5400.0,0,11.0,5.0,7,23
VE0055G,Vivo Nimali Satin Joggers,Vivo,Bottoms,Full Length Pants,Retired,2950.0,1450.0,4.0,6.0,0,13,23
S0424073,Safari Kamari Ribbed Top,Safari,Tops,T-shirts & Tank Tops,Retired,3550.0,1100.0,0,11.0,5.0,7,23
V0625018,Vivo Alani High Low Dress,Vivo,Dresses,Knee Length Dresses,Retired,5500.0,2250.0,0,13.0,7.0,3,23
S0924024,Safari Mansi Mens Summer Shirt,Safari,Tops,Men's Tops,Retired,4250.0,1250.0,1.0,1.0,2.0,19,23
S0724125,Safari Savannah Men's Short Sleeve Shirt,Safari,Tops,Men's Tops,Retired,5950.0,5950.0,1.0,10.0,4.0,8,23
S0224196,Safari Kamari Wide Leg Pants,Safari,Bottoms,Full Length Pants,Retired,4750.0,4750.0,11.0,0,7.0,4,22
