Odoo ID,Odoo Link,Product Name,Style Name,Style Number,Status,Fabric Barcode,Fabric Plain/Print,Fabric Source Country,Fabric Source City,Fabric Structure,Fabric Category,Fabric Sub-Category,Fabric Primary Color,Fabric Width (m),Fabric GSM,Supplier Fabric Code,Supplier Fabric Colour Code
334197,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=334197,Vivo Everyday Side Twist Bodycon in Jersey - Dark Green,Vivo Everyday Side Twist Bodycon in Jersey,V0719693,Active,[302987] SHUNGWANG 367# - Dark Teal ,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,,1.75,230,SHUNGWANG 367#,
246977,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=246977,Vivo Everyday Side Twist Bodycon in Jersey - Dark Mustard,Vivo Everyday Side Twist Bodycon in Jersey,V0719693,Active,[302988] Shunwang Textiles-367#-Knit-Light Rayon/Spandex Jersey-Dark Mustard 73-1.75-230,Print,,,Knit,Jersey,Heavy Single Jersey,Multicolor,1.75,230,,
246978,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=246978,Vivo Everyday Side Twist Bodycon in Jersey - Dark Purple,Vivo Everyday Side Twist Bodycon in Jersey,V0719693,Active,[302991] SHUNGWANG 367# - Dark Purple,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,Purple,1.75,230,SHUNGWANG 367#,
334198,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=334198,Vivo Everyday Side Twist Bodycon in Jersey - Dark Red,Vivo Everyday Side Twist Bodycon in Jersey,V0719693,Active,[302990] SHUNGWANG 367# - Dark Red 77,Print,China,Guangzhou,Knit,Jersey,Heavy Single Jersey,Multicolor,1.75,230,SHUNGWANG 367#,
334199,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=334199,Vivo Everyday Side Twist Bodycon in Jersey - Off White,Vivo Everyday Side Twist Bodycon in Jersey,V0719693,Active,[304963] SHUNGWANG 367# - Off White,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,White,1.75,230,SHUNGWANG 367#,
239363,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=239363,Vivo Everyday Side Twist Bodycon in Jersey - Teal,Vivo Everyday Side Twist Bodycon in Jersey,V0719693,Active,[302983] SHUNGWANG 367# - Teal,Plain,China,Guangzhou,Knit,Rayon Jersey,Medium Rayon Jersey,,1.75,230,SHUNGWANG 367#,
342326,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=342326,Vivo Everyday Sleeveless Jersey Waterfall  - FS,Vivo Everyday Sleeveless Jersey Waterfall,Sample & Sale Items,Sample,,,,,,,,,,,,
239519,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=239519,Vivo Everyday Sleeveless Waterfall in Jersey - Black,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
272438,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=272438,Vivo Everyday Sleeveless Waterfall in Jersey - Brown,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
305089,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=305089,Vivo Everyday Sleeveless Waterfall in Jersey - Chocolate,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
