id,name,active,default_code,barcode,categ_id,product_variant_count,x_vivo_attr_18,x_style_number_text,x_studio_style_name_gi,x_vivo_attr_16,x_style_name_text,x_vivo_attr_97,x_vivo_attr_99,x_colour_way_sku_text,x_vivo_attr_112,x_studio_fabric_ref,x_studio_brand,x_vivo_attr_22,x_studio_categories,x_vivo_categories,x_studio_fab_100,x_vivo_attr_100,x_studio_fab_101,x_vivo_attr_101,x_studio_fab_102,x_vivo_attr_102,x_studio_fab_103,x_vivo_attr_103,x_studio_fab_124,x_vivo_attr_124,x_studio_fab_125,x_vivo_attr_125,x_studio_fab_25,x_vivo_attr_25,x_studio_fab_38,x_vivo_attr_38,x_studio_fab_43,x_vivo_attr_43,x_studio_fab_48,x_vivo_attr_48,x_vivo_duplicate_key,x_vivo_duplicate_cleanup_state
88304,Safari Kitenge Men's Sweatshirt - Teal/ Tafo Print,True,,,17||01. Finished Goods Inventory,7,21761||S0824054,S0824054,14461||Safari Kitenge Men's Sweatshirt,14461||Safari Kitenge Men's Sweatshirt,Safari Kitenge Men's Sweatshirt,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,124||Mens,7833||Mens,,60023||Print,,60024||Knit,,61326||Poly Cotton Fleece,,61341||Heavy Poly Cotton Fleece,,,,,,,,,,,,,,
304736,Safari Kitenge Side Frill Kaftan - Keri,True,S0223031PR6F,60049432,17||01. Finished Goods Inventory,1,21762||S0223031,S0223031,14462||Safari Kitenge Side Frill Kaftan,14462||Safari Kitenge Side Frill Kaftan,Safari Kitenge Side Frill Kaftan,59959||Retired,61038||Retired,S0223031PR6,62469||S0223031PR6,,,24992||Safari by Vivo,,7830||Tops,,,,,,,,,,,,,,,,,,,,,,
304737,Safari Kitenge Side Frill Kaftan - Maya,True,S0223031PR5F,60049433,17||01. Finished Goods Inventory,1,21762||S0223031,S0223031,14462||Safari Kitenge Side Frill Kaftan,14462||Safari Kitenge Side Frill Kaftan,Safari Kitenge Side Frill Kaftan,59959||Retired,61038||Retired,S0223031PR5,62470||S0223031PR5,,,24992||Safari by Vivo,,7830||Tops,,,,,,,,,,,,,,,,,,,,,,
88308,Safari Kitenge T-Shirt - Black / Chari Print,True,,,17||01. Finished Goods Inventory,8,21763||S0524199,S0524199,14463||Safari Kitenge T-Shirt,14463||Safari Kitenge T-Shirt,Safari Kitenge T-Shirt,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,124||Mens,7833||Mens,,,,,,,,,,,,,,,,,,,,,,
88312,Safari Kitenge T-Shirt - White / Chari Print,True,,,17||01. Finished Goods Inventory,,21763||S0524199,S0524199,14463||Safari Kitenge T-Shirt,14463||Safari Kitenge T-Shirt,Safari Kitenge T-Shirt,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,124||Mens,,,,,,,,,,,,,,,,,,,,,,,
88314,Safari Kitenge T-Shirt - White / Tari Print,True,,,17||01. Finished Goods Inventory,,21763||S0524199,S0524199,14463||Safari Kitenge T-Shirt,14463||Safari Kitenge T-Shirt,Safari Kitenge T-Shirt,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,124||Mens,,,,,,,,,,,,,,,,,,,,,,,
344565,Safari Knee Length Dress - SAMPLE 1,True,,60039627,17||01. Finished Goods Inventory,1,59701||Sample & Sale Items,Sample & Sale Items,14464||Safari Knee Length Dress,14464||Safari Knee Length Dress,Safari Knee Length Dress,64399||Sample,62425||Sample,,,680038||Generic Barcode,,24992||Safari by Vivo,,7831||Dresses,60022||Plain,60022||Plain,,,,,,,,,,,,,,,,,,,,
88367,Safari Lira Criss - Cross Yoke Shirt - Black,True,,,17||01. Finished Goods Inventory,2,21773||S1123100,S1123100,59674||Safari Lira Criss,59674||Safari Lira Criss,Safari Lira Criss,62424||Archived,61042||N/A,,,,64||Safari,24992||Safari by Vivo,121||Tops,7830||Tops,,,,,,,,,,,,,,,,,,,,,,
88370,Safari Lira Drawstring Jacket - Black,True,,,17||01. Finished Goods Inventory,,59701||Sample & Sale Items,Sample & Sale Items,14474||Safari Lira Drawstring Jacket,14474||Safari Lira Drawstring Jacket,Safari Lira Drawstring Jacket,64399||Sample,62425||Sample,,,,64||Safari,24992||Safari by Vivo,127||Outerwear,,,,,,,,,,,,,,,,,,,,,,,
88371,Safari Lira Drawstring Jacket - Hunters,True,,,17||01. Finished Goods Inventory,,59701||Sample & Sale Items,Sample & Sale Items,14474||Safari Lira Drawstring Jacket,14474||Safari Lira Drawstring Jacket,Safari Lira Drawstring Jacket,64399||Sample,62425||Sample,,,,64||Safari,24992||Safari by Vivo,127||Outerwear,,,,,,,,,,,,,,,,,,,,,,,
