barcode,sku,product_name,style_name,style_number,product_type,category,price,warehouse_available,online_available,suggested_online_alloc,flag
60065519,V0719112DTAU1X,Vivo Basic Long Sleeved Bodysuit in Jersey - Dark Taupe,Vivo Basic Long Sleeve Bodysuit (Seamless),V0823134,Bodysuits,Tops,2900.0,2.0,1,0,""
60066317,S0326006OLIL,Safari by Vivo Pintuck Shirt in Cotton - Olive,Safari by Vivo Pintuck Shirt in Cotton,S0326006,Fitted Tops,Tops,4800.0,2.0,2,0,""
40015265,V0719112DGNM,Vivo Basic Long Sleeved Bodysuit in Jersey - Dark Green,Vivo Basic Long Sleeve Bodysuit (Seamless),V0823134,Bodysuits,Tops,2900.0,2.0,2,0,""
60063201,V0925018OFWL,Vivo Zelda Panelled Dress In Crepe - Off White,Vivo Zelda Panelled Dress In Crepe,V0925018,Short & Mini Dresses,Dresses,5500.0,2.0,1,0,""
60066315,S0326006OLIS,Safari by Vivo Pintuck Shirt in Cotton - Olive,Safari by Vivo Pintuck Shirt in Cotton,S0326006,Fitted Tops,Tops,4800.0,2.0,2,0,""
50010089,V0719112BURL,Vivo Basic Long Sleeved Bodysuit in Jersey - Burgundy,Vivo Basic Long Sleeved Bodysuit,V0719112,Bodysuits,Tops,2900.0,2.0,1,0,""
60059790,V0125045PR5M/L,Vivo Isabi Sleeveless Kimono - White / Tan Pasi Print,Vivo Isabi Sleeveless Kimono,V0125045,Waterfalls & Kimonos,Outerwear,4900.0,2.0,1,0,""
,V0125014PR2XS/S,Vivo Seli Wide Top - Peach / Black  Esli Print - PEACH / BLACK ESLI PRINT / V0125014 / XS/S,Vivo Seli Wide Top,V0125014,Loose Tops,Tops,0.0,2.0,1,0,""
60065028,V0819022REDM/L,Vivo Basic May Sweater - Red,Vivo Basic May Sweater,V0819022,Sweaters & Ponchos,Outerwear,3900.0,2.0,2,0,""
60054374,V0622002BUOM,Vivo Basic Drop Shoulder Top - Burnt Orange,Vivo Basic Drop Shoulder Top,V0622002,Loose Tops,Tops,2550.0,2.0,1,0,""
60019749,S0623047TAUL,Safari Basic Shirt Tent Dress - Taupe,Safari Basic Shirt Tent Dress,S0623047,Knee Length Dresses,Dresses,5250.0,2.0,1,0,""
60067784,V0625051OWHIL,Vivo Everyday Tank Top in Jersey - Off White,Vivo Basic Val Tank Top,V0625051,T-shirts & Tank Tops,Tops,1500.0,2.0,1,0,""
60039836,V0622002MUSXL,Vivo Basic Drop Shoulder Top - Mustard,Vivo Basic Drop Shoulder Top,V0622002,Loose Tops,Tops,2550.0,2.0,1,0,""
,V0423050DGRNM,Vivo Tatili Wide Leg Pants - Dark Green - DARK GREEN / V0423050 / M,Vivo Tatili Wide Leg Pants,V0423050,Full Length Pants,Bottoms,0.0,2.0,2,0,""
60067777,V0625051OLIS,Vivo Everyday Tank Top in Jersey - Olive,Vivo Basic Val Tank Top,V0625051,T-shirts & Tank Tops,Tops,1500.0,2.0,1,0,""
60067779,V0625051OLIL,Vivo Everyday Tank Top in Jersey - Olive,Vivo Basic Val Tank Top,V0625051,T-shirts & Tank Tops,Tops,1500.0,2.0,4,0,""
60062792,S1225004PR2M,Safari by Vivo Cotton Wrap Dress - Orange / Green Print,Safari by Vivo Cotton Wrap Dress,S1225004,Knee Length Dresses,Dresses,6800.0,2.0,2,0,""
60062345,V0925010LILS,Vivo Basic Crepe Bishop Sleeve Top - Lilac,Vivo Basic Crepe Bishop Sleeve Top,V0925010,Fitted Tops,Tops,3500.0,2.0,1,0,""
60062791,S1225004PR2S,Safari by Vivo Cotton Wrap Dress - Orange / Green Print,Safari by Vivo Cotton Wrap Dress,S1225004,Knee Length Dresses,Dresses,6800.0,2.0,2,0,""
60043142,S0824067SIPM,Safari Savannah Kitenge Midi Wrap Dress - Sipo Print,Safari Savannah Kitenge Midi Wrap Dress,S0824067,Short & Mini Dresses,Dresses,8950.0,2.0,2,0,""
60052157,V0622041PR9F,Vivo Mistari 3/4 Sleeve V - Neck Collared Tunic Top - Black Checkered,Vivo Mistari 3/4 Sleeve V,V0622041,Loose Tops,Tops,2450.0,2.0,1,0,""
60004876,V0121119DGN1X,Vivo Basic Satin Bishop Sleeve Top - Dark Green,Vivo Basic Satin Bishop Sleeved Top,V0121119,Fitted Tops,Tops,3500.0,2.0,2,0,""
60040098,V0622062WHI1X/2X,Vivo Basic Cowl Jersey Top - White,Vivo Basic Cowl Jersey Top,V0622062,Loose Tops,Tops,1150.0,2.0,1,0,""
60062355,V0925010DOLS,Vivo Basic Crepe Bishop Sleeve Top - Dark Olive,Vivo Basic Crepe Bishop Sleeve Top,V0925010,Fitted Tops,Tops,3500.0,2.0,1,0,""
60065771,V0121119DGN2X,Vivo Basic Satin Bishop Sleeve Top - Dark Green,Vivo Basic Satin Bishop Sleeved Top,V0121119,Fitted Tops,Tops,3500.0,2.0,1,0,""
60032507,V0623033TAN2X,Vivo Basic Spaghetti Strap Tank Top - Tan,Vivo Basic Spaghetti Strap Tank Top,V0623033,T-shirts & Tank Tops,Tops,450.0,2.0,2,0,""
60062869,V0924104LILL,Vivo Pelia Round Neck Dress - Lilac,Vivo Pelia Round Neck Dress,V0924104,Knee Length Dresses,Dresses,5900.0,2.0,1,0,""
60062871,V0924104LIL2X,Vivo Pelia Round Neck Dress - Lilac,Vivo Pelia Round Neck Dress,V0924104,Knee Length Dresses,Dresses,5900.0,2.0,1,0,""
60066504,S0326036DPIN1X/2X,Safari by Vivo Two Way Wrap Top in Cotton - Dusty Pink,Safari by Vivo Two Way Wrap Top in Cotton,S0326036,Loose Tops,Tops,3800.0,2.0,1,0,""
60066159,V0326002WHI1X,Vivo V-Neck Camisole in Satin- White,Vivo V-Neck Camisole in Satin- Black,V0326002,Fitted Tops,Tops,2500.0,2.0,1,0,""
60004875,V0121119DGNL,Vivo Basic Satin Bishop Sleeve Top - Dark Green,Vivo Basic Satin Bishop Sleeved Top,V0121119,Fitted Tops,Tops,3500.0,2.0,3,0,""
60004873,V0121119DGNS,Vivo Basic Satin Bishop Sleeve Top - Dark Green,Vivo Basic Satin Bishop Sleeved Top,V0121119,Fitted Tops,Tops,3500.0,2.0,2,0,""
90004938,V0624025PR9XS,Vivo Kitenge Strappy Tie Back Top - Obu,Vivo Kitenge Strappy Tie Back Top,V0624025,Loose Tops,Tops,2900.0,2.0,1,0,""
60063041,V0624033BLAM,Vivo Nasinka A-Line Maxi Dress - Black,Vivo Nasinka A-Line Maxi Dress,V0624033,Maxi Dresses,Dresses,6900.0,2.0,1,0,""
60063049,V0624033DMUS2X,Vivo Nasinka A-Line Maxi Dress - Dark Mustard,Vivo Nasinka A-Line Maxi Dress,V0624033,Maxi Dresses,Dresses,6900.0,2.0,1,0,""
60060532,S0925060PR1L,Safari By Vivo Mens Cotton Short Sleeve Shirt - White / Black Print,Safari By Vivo Mens Cotton Short Sleeve Shirt,S0925060,Loose Tops,Tops,4400.0,2.0,4,0,""
60055927,V0819098GREL,Vivo Basic Kena Tent Knee Length Dress - Green,Vivo Basic Kena Tent Knee Length Dress,V0819098,Knee Length Dresses,Dresses,4900.0,2.0,1,0,""
60052940,V0125036BLAM,Vivo Isabi Cowl Top - Black,Vivo Isabi Cowl Top,V0125036,Fitted Tops,Tops,1750.0,2.0,1,0,""
60054952,S0525022PR2S,Safari Naledi Flounce Tent Dress - Brown / Blue Nale Print,Safari Naledi Flounce Tent Dress,S0525022,Knee Length Dresses,Dresses,7400.0,2.0,3,0,""
60037887,S0424198PR63X,Safari Men's Short Sleeve Shirt - Black / Chari Print,Safari Men's Short Sleeve Shirt,S0424198,Loose Tops,Tops,2950.0,2.0,1,0,""
60059685,V0819098REDM,Vivo Basic Kena Tent Knee Length Dress - Red,Vivo Basic Kena Tent Knee Length Dress,V0819098,Knee Length Dresses,Dresses,4900.0,2.0,1,0,""
60056741,S0424052DATM/L,Safari Long Sleeve Waterfall - Dark Tan,Safari Long Sleeve Waterfall,S0424052,Waterfalls & Kimonos,Outerwear,4800.0,2.0,1,0,""
60045303,V0624095NAVL,Vivo Hamle Side Twist Tie Bodycon - Navy,Vivo Hamle Side Twist Tie Bodycon,V0624095,Knee Length Dresses,Dresses,3400.0,2.0,1,0,""
