Order Ref,Order ID,Gross Total,Discount,Returns,Net Total (net of discount+returns)
Junction/1412,23814,7800,0,0,7800
Junction/1414,23819,8800,0,0,8800
Junction/1415,23829,11100,0,0,11100
Junction/1416,23839,28400,0,0,28400
Junction/1417,23852,3700,0,0,3700
Junction/1418,23900,7800,0,0,7800
Junction/1419,23902,10400,0,0,10400
Junction/1420,23903,14900,0,0,14900
Junction/1421,23908,9200,0,0,9200
Junction/1422,23916,3500,0,0,3500
Junction/1423,23923,11900,0,0,11900
Junction/1424,23927,20700,0,0,20700
Junction/1425,23933,10300,0,0,10300
Junction/1426,23937,7800,0,0,7800
Junction/1427,23954,18800,0,0,18800
Junction/1428,23973,6200,0,0,6200
Junction/1429,23983,3500,0,0,3500
Junction/1430,23985,12300,0,0,12300
Junction/1431,23990,8000,0,0,8000
Junction/1432,23994,9900,0,0,9900
Junction/1433,24015,5900,0,0,5900
Junction/1434,24021,10600,0,0,10600
Junction/1435,24033,9800,0,0,9800
Junction/1436,24040,19000,0,0,19000
Junction/1436 REFUND,24534,0,0,9800,-9800
Junction/1437,24041,15850,0,0,15850
Junction/1438,24043,15900,0,0,15900
Junction/1439,24048,8100,0,0,8100
Junction/1440,24049,3800,0,0,3800
Junction/1441,24051,11700,0,0,11700
Junction/1442,24057,7400,0,0,7400
Junction/1443,24061,27100,0,0,27100
Junction/1444,24070,10400,0,0,10400
Junction/1445,24074,7000,0,0,7000
Junction/1446,24080,17850,0,0,17850
Junction/1447,24082,9900,0,0,9900
Junction/1448,24092,9200,0,0,9200
Junction/1449,24100,7400,0,0,7400
Junction/1450,24103,6400,0,0,6400
Junction/1451,24111,31400,0,0,31400
Junction/1452,24116,52700,0,0,52700
Junction/1453,24125,61100,0,0,61100
Junction/1454,24133,9200,0,0,9200
Junction/1455,24134,17100,0,0,17100
Junction/1456,24138,6400,0,0,6400
Junction/1457,24139,13400,0,0,13400
Junction/1458,24140,33200,0,0,33200
Junction/1459,24141,9700,0,0,9700
Junction/1460,24143,3500,0,0,3500
Junction/1461,24144,15400,0,0,15400
Junction/1462,24145,2900,0,0,2900
Junction/1463,24159,5900,0,0,5900
Junction/1464,24173,11400,0,0,11400
Junction/1465,24191,5500,0,0,5500
Junction/1466,24192,3200,0,0,3200
Junction/1467,24252,4500,0,0,4500
Junction/1468,24256,13700,0,0,13700
Junction/1469,24260,5900,0,0,5900
Junction/1470,24294,12400,0,0,12400
Junction/1471,24309,7700,0,0,7700
Junction/1471 REFUND,27676,0,0,3315,-3315
Junction/1472,24330,3900,0,0,3900
Junction/1473,24331,17300,0,0,17300
Junction/1474,24344,12700,0,0,12700
Junction/1474 REFUND,24471,0,0,3900,-3900
Junction/1475,24382,39300,0,0,39300
Junction/1476,24429,8600,0,0,8600
Junction/1477,24439,5550,0,0,5550
Junction/1479,24443,8500,0,0,8500
Junction/1480,24445,3500,0,0,3500
Junction/1481,24452,30500,0,0,30500
Junction/1482,24460,4000,0,0,4000
Junction/1483,24475,7400,0,0,7400
Junction/1484,24497,37300,0,0,37300
Junction/1485,24500,7400,0,0,7400
Junction/1486,24503,9400,0,0,9400
Junction/1487,24506,2500,0,0,2500
Junction/1488,24526,4900,0,0,4900
Junction/1489,24541,9900,0,0,9900
Junction/1490,24569,10300,0,0,10300
Junction/1491,24606,2500,0,0,2500
Junction/1492,24623,14300,0,0,14300
Junction/1493,24665,6400,0,0,6400
Junction/1494,24669,4200,0,0,4200
Junction/1495,24680,6500,0,0,6500
Junction/1496,24689,9800,0,0,9800
Junction/1497,24706,18000,0,0,18000
Junction/1498,24708,5550,0,0,5550
Junction/1499,24725,8400,0,0,8400
Junction/1500,24735,8800,0,0,8800
Junction/1501,24742,6400,0,0,6400
Junction/1502,24747,26300,0,0,26300
Junction/1503,24748,4700,0,0,4700
Junction/1504,24749,16000,0,0,16000
Junction/1505,24770,6200,0,0,6200
Junction/1506,24801,6400,0,0,6400
Junction/1507,24819,7400,0,0,7400
Junction/1508,24828,5800,0,0,5800
Junction/1509,24831,5000,0,0,5000
Junction/1510,24842,7000,0,0,7000
Junction/1511,24869,1500,0,0,1500
Junction/1512,24873,8950,0,0,8950
Junction/1513,24882,11300,0,0,11300
Junction/1514,24888,5500,0,0,5500
Junction/1515,24939,5800,0,0,5800
Junction/1516,24948,7400,0,0,7400
Junction/1517,24961,19500,0,0,19500
Junction/1518,24969,5400,0,0,5400
Junction/1519,24977,8900,0,0,8900
Junction/1520,24984,7700,0,0,7700
Junction/1521,24989,9200,0,0,9200
Junction/1522,25005,15000,0,0,15000
Junction/1523,25007,11400,0,0,11400
Junction/1524,25014,12000,0,0,12000
Junction/1525,25020,11700,0,0,11700
Junction/1526,25029,46100,0,0,46100
Junction/1527,25048,5800,0,0,5800
Junction/1528,25054,23300,0,0,23300
Junction/1529,25063,9400,0,0,9400
Junction/1530,25066,3900,0,0,3900
Junction/1531,25071,4950,0,0,4950
Junction/1532,25078,5900,0,0,5900
Junction/1533,25084,8400,0,0,8400
Junction/1534,25090,4500,0,0,4500
Junction/1535,25103,48200,0,0,48200
Junction/1536,25107,1500,0,0,1500
Junction/1537,25137,5500,0,0,5500
Junction/1538,25142,10800,0,0,10800
Junction/1539,25158,16900,0,0,16900
Junction/1540,25160,7400,0,0,7400
Junction/1541,25264,5500,0,0,5500
Junction/1542,25270,20500,0,0,20500
Junction/1542 REFUND,25958,0,0,4900,-4900
Junction/1543,25271,3800,0,0,3800
Junction/1544,25280,4950,0,0,4950
Junction/1545,25285,11200,0,0,11200
Junction/1546,25302,18900,0,0,18900
Junction/1549,25362,3500,0,0,3500
Junction/1550,25375,79350,0,0,79350
Junction/1551,25388,24000,0,0,24000
Junction/1552,25393,6800,0,0,6800
Junction/1553,25402,17800,0,0,17800
Junction/1554,25407,4500,0,0,4500
Junction/1555,25425,3900,0,0,3900
Junction/1556,25449,4900,0,0,4900
Junction/1557,25450,6500,0,0,6500
Junction/1558,25488,3550,0,0,3550
Junction/1559,25522,12300,0,0,12300
Junction/1560,25595,18900,0,0,18900
Junction/1561,25619,2500,0,0,2500
Junction/1562,25661,11800,0,0,11800
Junction/1563,25664,3900,0,0,3900
Junction/1564,25665,30400,0,0,30400
Junction/1565,25695,14400,0,0,14400
Junction/1566,25701,14900,0,0,14900
Junction/1567,25706,3900,0,0,3900
Junction/1568,25731,12900,0,0,12900
Junction/1569,25735,6500,0,0,6500
Junction/1570,25741,13150,0,0,13150
Junction/1571,25766,2500,0,0,2500
Junction/1572,25771,16450,0,0,16450
Junction/1573,25783,62250,0,0,62250
Junction/1574,25792,12000,0,0,12000
Junction/1575,25795,5500,0,0,5500
Junction/1576,25801,8300,0,0,8300
Junction/1577,25809,4950,0,0,4950
Junction/1578,25813,2500,0,0,2500
Junction/1579,25835,4900,0,0,4900
Junction/1580,25853,6500,0,0,6500
Junction/1581,25873,7700,0,0,7700
Junction/1582,25884,23900,0,0,23900
Junction/1583,25887,14600,0,0,14600
Junction/1584,25902,3500,0,0,3500
Junction/1585,25904,41700,0,0,41700
Junction/1586,25911,24100,0,0,24100
Junction/1587,25913,6200,0,0,6200
Junction/1588,25945,3900,0,0,3900
Junction/1589,25959,4900,0,0,4900
Junction/1590,25966,4200,0,0,4200
Junction/1591,25974,8400,0,0,8400
Junction/1592,26014,10300,0,0,10300
Junction/1593,26045,4900,0,0,4900
Junction/1594,26046,18900,0,0,18900
Junction/1595,26047,5500,0,0,5500
Junction/1596,26051,3900,0,0,3900
Junction/1597,26066,29900,0,0,29900
Junction/1598,26088,9600,0,0,9600
Junction/1599,26099,6900,0,0,6900
Junction/1600,26108,5800,0,0,5800
Junction/1601,26116,5000,0,0,5000
Junction/1602,26120,2500,0,0,2500
Junction/1603,26130,11800,0,0,11800
Junction/1604,26147,2500,0,0,2500
Junction/1605,26154,12200,0,0,12200
Junction/1606,26167,42100,0,0,42100
Junction/1607,26170,13700,0,0,13700
Junction/1608,26204,6700,0,0,6700
Junction/1609,26208,11000,0,0,11000
Junction/1610,26211,5550,0,0,5550
Junction/1611,26216,10000,0,0,10000
Junction/1617,26250,5900,0,0,5900
Junction/1618,26257,11600,0,0,11600
Junction/1619,26304,26350,0,0,26350
Junction/1620,26315,4950,0,0,4950
Junction/1621,26330,16700,0,0,16700
Junction/1622,26353,12450,0,0,12450
Junction/1623,26392,5800,0,0,5800
Junction/1627,26412,22900,0,0,22900
Junction/1631,26438,22200,0,0,22200
Junction/1632,26411,17300,0,0,17300
Junction/1633,26479,7700,0,0,7700
Junction/1634,26484,9400,0,0,9400
Junction/1635,26487,3500,0,0,3500
Junction/1636,26500,7800,0,0,7800
Junction/1637,26518,25500,0,0,25500
Junction/1638,26520,5550,0,0,5550
Junction/1639,26524,6400,0,0,6400
Junction/1640,26526,6900,0,0,6900
Junction/1641,26535,10800,0,0,10800
Junction/1642,26560,34300,0,0,34300
Junction/1643,26562,67100,0,0,67100
Junction/1644,26579,17600,0,0,17600
Junction/1645,26591,1500,0,0,1500
Junction/1646,26598,6200,0,0,6200
Junction/1647,26606,18000,0,0,18000
Junction/1648,26614,5550,0,0,5550
Junction/1649,26636,26700,0,0,26700
Junction/1650,26646,6200,0,0,6200
Junction/1651,26674,2500,0,0,2500
Junction/1652,26686,7480,0,0,7480
Junction/1653,26692,8800,0,0,8800
Junction/1654,26695,6200,0,0,6200
Junction/1655,26696,4950,0,0,4950
Junction/1656,26697,3500,0,0,3500
Junction/1657,26701,14350,0,0,14350
Junction/1658,26735,17900,0,0,17900
Junction/1659,26766,4750,0,0,4750
Junction/1660,26776,14100,0,0,14100
Junction/1662,26809,14700,0,0,14700
Junction/1663,26818,5800,0,0,5800
Junction/1664,26824,20000,0,0,20000
Junction/1665,26830,3000,0,0,3000
Junction/1666,26841,5500,0,0,5500
Junction/1667,26859,3500,0,0,3500
Junction/1668,26868,22000,0,0,22000
