brand,missing,product_name
"Vivo","both","Vivo Iyana Cape Top In Chiffon  - FS"
"Vivo","both","Vivo Iyana Knee Length Bubble Dress  - FS"
"Vivo","both","Vivo Iyana Knee Length Bubble Dress  - FS"
"Vivo","both","Vivo Iyana Knee Length Bubble Dress in Satin  - FS"
"Vivo","both","Vivo Iyana Maxi Cover Up  - FS"
"Vivo","both","Vivo Iyana Shirred Waist Jumpsuit in Crepe  - FS"
"Vivo","both","Vivo Iyana Shirred waist Maxi Dress  - FS"
"Vivo","both","Vivo Iyana Wide Leg Pants  - FS"
"Vivo","both","Vivo Iyana Wide Leg Pants  - FS"
"Vivo","both","Vivo Jacket - FS 5"
"Vivo","both","Vivo Jackets - FS 1"
"Vivo","both","Vivo Jema Off-shoulder Long Sleeve Jumpsuit  - FS"
"Vivo","both","Vivo Jira Front Overlap Midriff Top - Buttermilk"
"Vivo","both","Vivo Jumpsuit - FS 4"
"Vivo","both","Vivo Jumpsuit - Sample 1"
"Vivo","both","Vivo Jumpsuit - Sample 3"
"Vivo","both","Vivo Jumpsuit - Sample 4"
"Vivo","both","Vivo Kaisa Maxi Skirt  - FS"
"Vivo","both","Vivo Kaisa Mock Neck Sleeveless Top  - FS"
"Vivo","both","Vivo Kaisa Short Sleeve Maxi Bodycon In Polyester Stretch  - FS"
"Vivo","both","Vivo Kala Long Sleeve Top  - FS"
"Vivo","both","Vivo Kani Cap Sleeve Maxi Dress  - FS"
"Vivo","both","Vivo Kani Cap Sleeve Maxi Dress  - FS"
"Vivo","both","Vivo Kani Tent Shirt Dress  - FS"
"Vivo","both","Vivo Kani Wide Leg Pants  - FS"
"Vivo","both","Vivo Kemi Maxi Skirt  - FS"
"Vivo","both","Vivo Kemi Side Cowl Maxi Dress  - FS"
"Vivo","both","Vivo Kemi Skirt & Top Set  - FS"
"Vivo","both","Vivo Keza Circular Loose Top  - FS"
"Vivo","both","Vivo Keza Circular Loose Top  - FS"
"Vivo","both","Vivo Keza Circular Loose Top in Satin  - FS"
"Vivo","both","Vivo Keza Satin Border Maxi Kaftan  - FS"
"Vivo","both","Vivo Keza V Neck Maxi Kaftan In Satin  - FS"
"Vivo","both","Vivo Keza V-Neck Maxi Kaftan  - FS"
"Vivo","both","Vivo Knee Length Dress  - FS"
"Vivo","both","Vivo Knee Length Dress - SAMPLE1 B."
"Vivo","both","Vivo Knee Length Dress - SAMPLE2"
"Vivo","both","Vivo Knee Length Kaftan in Satin  - FS"
