Style Number,Style Name,Brand,Category,SKUs,Units Sold,Total Sales KES
V0624069,Vivo Kala Slit Maxi Dress,Vivo,Dresses,1,84,539361
V0819064,Vivo Basic Long Lily Waterfall,Vivo,Outerwear,4,130,537059
V1121104,Vivo Sana Asymmetrical Angel Sleeve Top,Vivo,Tops,7,192,536180
S0224135,Safari Kaya Sleeveless Tent Shirt Dress,Safari,Dresses,7,102,535989
S0322135,Safari Tawi Shirt Collar Bishop Sleeve Tiered Dress,Safari,Dresses,11,167,533390
V0622006,Vivo Jema Off Shoulder Tent Knee Length Dress,Vivo,Dresses,6,133,525951
V1123144,Vivo Sanali Off,Vivo,Dresses,3,91,521421
S0724009,Safari Savannah Wrap Top,Safari,Tops,16,101,515279
V0325003,Vivo Niari Boat Neck Dress,Vivo,Dresses,12,104,505592
V1023029,Vivo Sarabi Panelled V-Neck Kaftan,Vivo,Dresses,2,85,502032
V0723033,Vivo Basic Long Sleeve Cascade Waterfall,Vivo,Outerwear,8,156,500321
V1122193,Vivo Basic Sleeveless Extra Long Lily Waterfall,Vivo,Outerwear,11,133,496638
V0422058,Vivo Basic Tsavo Scalloped Chiffon Top,Vivo,Tops,9,218,492473
V0925053,Vivo Studio 2-piece in Mixed Media,Vivo,Two-Piece Sets,15,71,491178
V0724074,Vivo Tatari Dropped Shoulder Sheath Dress,Vivo,Dresses,4,108,490933
V0425007,Vivo Rema High Low Maxi Dress,Vivo,Dresses,15,127,489670
S0425039,Shiv & Shikie X Safari Barrel Pants,Third Party Brands,Bottoms,10,102,488403
V1024068,Vivo Kelemi Layered Top,Vivo,Tops,4,103,485500
V0724044,Vivo Nkasi Bubble Sleeve Maxi Dress,Vivo,Dresses,4,77,480210
V1022057,Vivo Basic Maternity Leggings,Vivo,Bottoms,6,175,478695
V1024032,Vivo Beali Shorts,Vivo,Bottoms,6,147,473636
V0325010,Vivo Safa Drawstring Wide Top,Vivo,Tops,8,169,471019
V0324080,Vivo X This Is Essential Leggings,Vivo,Bottoms,12,160,469318
VE0032P,Vivo Kitenge Wide Leg Pants,Vivo,Bottoms,25,125,468423
V0424156,Vivo Solei Shorts(without lining),Vivo,Bottoms,24,198,465164
V0224233,Vivo Reba Hi Low  Dress,Vivo,Dresses,6,81,461558
V0525071,Vivo Maisha Straight Leg Pants in Crepe,Vivo,Bottoms,16,109,454161
V0125008,Vivo Yene Asymmetrical Cape Top,Vivo,Tops,6,140,445796
V0624095,Vivo Hamle Side Twist Tie Bodycon,Vivo,Dresses,15,128,444670
S0424073,Safari Kamari Ribbed Top,Safari,Tops,19,264,442514
V1024031,Vivo Beali Baby Doll Dress,Vivo,Dresses,7,64,435025
S0224190,Safari Kamari Halter Shirt,Safari,Tops,44,175,427583
V0322163,Vivo Jasiri Bishop Sleeve Layered Top,Vivo,Tops,8,135,425200
V0120092,Vivo Basic Long Sleeved Bishop Top,Vivo,Tops,8,163,416279
V0224140,Vivo Vinna Escape A-Line Dress,Vivo,Dresses,24,107,415106
V0824108,Vivo Ayla Off-Shoulder Jumpsuit,Vivo,Bottoms,1,64,413352
V0425046,Vivo Analo Sleeveless Tie Kimono,Vivo,Outerwear,11,122,408070
V0624070,Vivo Kala Hooded Poncho,Vivo,Outerwear,2,99,407098
V0825008,Vivo Ria Pants & Waterfall Set,Vivo,Two-Piece Sets,6,54,404468
V0424024,Vivo Saida Sheath Dress,Vivo,Dresses,8,129,401753
V0325020,Vivo Tahisa Loose Top,Vivo,Tops,4,130,399700
V1024035,Vivo Beali Wrap Asymmetrical Midi Dress,Vivo,Dresses,3,58,397500
V0524005,Vivo X This Is Essential Ruched Bodysuit,Vivo,Tops,7,92,390150
V0624047,Vivo Hamle Side Twist Tie Top,Vivo,Tops,17,250,386903
V0425049,Vivo Basic Sleeveless Double Layered Coat,Vivo,Outerwear,3,101,383709
S0624019,Safari Savannah Men's Half Placket Shirt,Safari,Tops,8,68,382143
V0623004,Vivo Zahari Drawstring Wide Leg Pants,Vivo,Bottoms,17,95,381721
V0524004,Vivo X This Is Essential One Shoulder Bodysuit,Vivo,Tops,7,174,381638
S0325065,Safari Naledi Gathered Panel Maxi Skirt,Safari,Skirts,5,63,380673
V0825015,Vivo Lena Slim Fit Pants in Pinstripe,Vivo,Bottoms,9,98,379920
V0625043,Vivo Iyana Bubble Midi Skirt,Vivo,Skirts,15,79,373733
V0925026,Vivo Liora Shorts,Vivo,Bottoms,16,144,368872
V0424161,Vivo Sarong Skirt,Vivo,Skirts,3,139,366727
S0322128,Safari Tawi Off Shoulder Knee Length Dress,Safari,Dresses,4,120,365379
Z0922062,Zoya Basic Long Sleeve Top,Zoya,Tops,34,273,359844
Z0724022,Zoya Basic Short Sleeve Crop Top,Zoya,Tops,21,275,359517
V0923039,Vivo X This Is Essential Long Sleeve Bodysuit,Vivo,Tops,12,96,359438
V0719113,Vivo Basic Long Sleeved Top,Vivo,Tops,13,208,357339
V0724030,Vivo Nkasi Maxi Kimono,Vivo,Outerwear,6,63,352454
S0425041,Shiv & Shikie X Safari Printed Short Sleeve Shirt,Third Party Brands,Tops,12,73,351555
S0224193,Safari Kamari Cotton Shorts,Safari,Bottoms,8,118,350668
S0923093,Safari Kikoy Wrap Dress,Safari,Dresses,4,52,348743
S0325031,Safari Tiwa Barell Pants,Safari,Bottoms,10,74,341925
V0825025,Vivo Anavi Maxi Dress In Jersey,Vivo,Dresses,16,50,338322
S1023065,Safari Zene Off Shoulder Dress,Safari,Dresses,8,61,335055
V0225025,Vivo Chela Drawstring Shorts,Vivo,Bottoms,5,140,334716
V1124086,Vivo Lalani Turtle Neck Sweater Dress,Vivo,Dresses,12,83,334332
Z1024060,Zoya X Metamorphisized 143 Detachable Pants,Zoya,Bottoms,8,69,334000
V0124022,Vivo Esna Puff Sleeve Tent Dress,Vivo,Dresses,19,69,331829
S0824067,Safari Savannah Kitenge Midi Wrap Dress,Safari,Dresses,14,40,329950
V1025038,Vivo Rayon Jersey Slip Dress,Vivo,Dresses,20,116,328788
V0424162,Vivo Satin High Low Top,Vivo,Tops,1,74,328502
S0925046,Safari Tafari Shorts,Safari,Bottoms,26,115,326042
Z0724053,Zoya Banda Crop Hoodie,Zoya,Outerwear,16,185,324044
V1124155,Vivo Chari Cap Sleeve Shift Dress,Vivo,Dresses,2,77,322400
V0724037,Vivo Nkasi Asymmetrical Top,Vivo,Tops,6,104,318579
V0325021,Vivo Basic Jeggings,Vivo,Bottoms,3,90,317749
S0525069,Safari Tara Bishop Sleeve Dress,Safari,Dresses,11,49,317583
V0625008,Vivo Ari Short Sleeve Top,Vivo,Tops,8,167,316730
V0824101,Vivo Ayla Bubble Sleeve Maxi Dress,Vivo,Dresses,2,47,315776
V0425001,Vivo Kaisa Strappy Maxi Dress,Vivo,Dresses,7,84,311488
V0525026,Vivo Maisha Wide Kimono,Vivo,Outerwear,4,71,308577
V0625030,Vivo Aleri Coat,Vivo,Outerwear,6,52,303800
V1124111,Vivo Seli Maxi Skirt,Vivo,Skirts,16,78,296805
S1024011,Safari Chui Placket Top,Safari,Tops,10,58,296755
V0924042,Vivo Mandla High Neck A-Line Dress,Vivo,Dresses,10,103,296017
V1024037,Vivo Beali Sarong Skirt,Vivo,Skirts,4,74,295127
V1024045,Vivo Pelia Kimono,Vivo,Outerwear,2,108,291956
V0224213,Vivo Safiya Maxi Dress,Vivo,Dresses,2,74,291630
V0919039,Vivo Basic Puff Sleeved Bodycon,Vivo,Dresses,6,68,288095
V0424124,Vivo Chesi Wide Leg Pants,Vivo,Bottoms,4,66,288028
V0424127,Vivo Dua Dolman Top,Vivo,Tops,2,85,285451
V0824020,Vivo Wila Cowl Tunic,Vivo,Dresses,4,65,283271
V0125062,Vivo Isabi Bodysuit,Vivo,Tops,4,130,283170
V0424029,Vivo Saida Dress Coat,Vivo,Outerwear,12,70,281495
S1025031,Safari Tafari Wrap Top,Safari,Tops,19,84,280302
V1123136,Vivo Sanali Kaftan Top,Vivo,Tops,4,123,280036
S0924003,Safari Mansi Dolman Top,Safari,Tops,13,84,279206
V0224241,Vivo Full Length Kimono,Vivo,Outerwear,7,49,279023
S0624027,Safari Savannah Men's Straight Leg Pants,Safari,Bottoms,8,59,274364
V0224142,Vivo Vinna Slit Sleeve Top,Vivo,Tops,21,89,274162
V0825060,Vivo Alma Short Sleeve Mini Bodycon,Vivo,Dresses,8,79,273757
V0225027,Vivo Niari Shorts,Vivo,Bottoms,4,159,267175
S0924017,Safari Mansi Straight Leg Pants,Safari,Bottoms,6,58,267110
S0624028,Safari Savannah Men's Jacket,Safari,Outerwear,8,69,266881
S0224201,Safari Kamari Maxi Dress,Safari,Dresses,4,46,263901
V0325072,Vivo Chiffon Shorts,Vivo,Bottoms,8,75,262923
V0124045,Vivo Arafa Long Sleeve Tie Dress,Vivo,Dresses,2,82,262186
S0123088,Safari Mali 3/4 Bishop Sleeve Tie Top,Safari,Tops,19,65,254462
V0524167,Vivo Satin Drawstring Pants,Vivo,Bottoms,22,69,254454
V0724102,Vivo Hadiya Tie Maxi Dress,Vivo,Dresses,4,38,253150
V0724038,Vivo Nkasi Wide Top,Vivo,Tops,1,66,251527
V0222098,Vivo Faraji Long Sleeve Jacket,Vivo,Outerwear,4,74,248811
V0724144,Vivo Paji Pencil Skirt,Vivo,Skirts,3,91,248025
