POS Location,Product Name,Style Name,Style Number,Barcode,SKU,SOH
Online - Shop Zetu,Safari Spaghetti Tank Top - Light Taupe,Safari Spaghetti Tank Top,S0424062,60035318,S0424062LTAU1X/2X,1
Online - Shop Zetu,Safari Tafari Shorts - Black Brown Shade A,Safari Tafari Shorts,S0925046,60060956,S0925046PR41X,1
Online - Shop Zetu,Safari Tafari Shorts - Black Brown Shade A,Safari Tafari Shorts,S0925046,60060954,S0925046PR4M,1
Online - Shop Zetu,Safari Tafari Shorts - Black Brown Shade A,Safari Tafari Shorts,S0925046,60060953,S0925046PR4S,1
Online - Shop Zetu,Safari Tafari Shorts - Black Brown Shade C,Safari Tafari Shorts,S0925046,60060959,S0925046PR5L,1
Online - Shop Zetu,Safari Tafari Shorts - Black Brown Shade C,Safari Tafari Shorts,S0925046,60060958,S0925046PR5M,3
Online - Shop Zetu,Safari Tafari Shorts - Black Brown Shade C,Safari Tafari Shorts,S0925046,60060957,S0925046PR5S,2
Online - Shop Zetu,Safari Tafari Shorts - Dafi Print,Safari Tafari Shorts,S0925046,60060974,S0925046PR9M,2
Online - Shop Zetu,Safari Tafari Shorts - Dafi Print,Safari Tafari Shorts,S0925046,60060975,S0925046PR9L,2
Online - Shop Zetu,Safari Tafari Shorts - Dafi Print,Safari Tafari Shorts,S0925046,60060973,S0925046PR9S,2
Online - Shop Zetu,Safari Tafari Shorts - Dark Navy Asili Print,Safari Tafari Shorts,S0925046,60060950,S0925046PR3M,1
